,ID,State,Subscription_End_Date,Expiring_Dollars,Expiring_Students,Renewal_Date,Metro_Code,Apple_Mac_Code,PC_Code,Poverty_Level_Code,Avg_Household_Income,Title_1_Code,Software_budget_per_head,Training_Budget_Per_head,Lunch_Program_Eligible_Students,Affluence_Indicator,Avg_Sell_price,Renew_delay,Days_group,Subscription_Status
14089,74646,Pennsylvania,2017-08-31,1920,240,ZZ,R,ZZ,ZZ,ZZ,L,ZZ,ZZ,ZZ,0.0,2.0,8.0,999,11.0,Renewed
14090,74844,Pennsylvania,2017-08-31,2200,275,ZZ,ZZ,G,F,B,J,B,F,C,117.0,2.0,8.0,999,11.0,Not Renewed
14093,76494,Pennsylvania,2017-08-31,4000,500,ZZ,R,K,E,C,I,B,H,G,132.0,1.0,8.0,999,11.0,Renewed
14095,80250,Pennsylvania,2017-08-31,1920,240,ZZ,R,B,D,C,I,B,H,G,104.0,4.0,8.0,999,11.0,Not Renewed
14098,79395,Pennsylvania,2017-08-31,3600,450,ZZ,T,E,E,B,L,B,H,G,213.0,4.0,8.0,999,11.0,Renewed
14100,138216,South Carolina,2017-08-31,4912,614,ZZ,U,C,H,C,I,B,G,E,377.0,2.0,8.0,999,11.0,Renewed
14101,138300,South Carolina,2017-08-31,5024,628,ZZ,U,C,H,C,I,B,G,E,501.0,2.0,8.0,999,11.0,Renewed
14102,138366,South Carolina,2017-08-31,1920,240,ZZ,U,ZZ,ZZ,ZZ,I,ZZ,ZZ,ZZ,0.0,2.0,8.0,999,11.0,Renewed
14103,138573,South Carolina,2017-08-31,4936,617,ZZ,U,C,H,C,C,B,G,E,372.0,1.0,8.0,999,11.0,Renewed
14104,137580,South Carolina,2017-08-31,8000,1000,ZZ,R,A,I,C,J,B,G,E,579.0,2.0,8.0,999,11.0,Renewed
14106,148422,Georgia,2017-08-31,6000,750,ZZ,S,H,J,C,O,B,G,E,198.0,4.0,8.0,999,11.0,Renewed
14107,115767,North Carolina,2017-08-31,2400,300,ZZ,R,K,G,D,Z,C,E,C,312.0,2.0,8.0,999,11.0,Not Renewed
14108,124698,North Carolina,2017-08-31,2000,250,ZZ,ZZ,C,H,D,B,C,H,D,361.0,1.0,8.0,999,11.0,Not Renewed
14109,125100,North Carolina,2017-08-31,4400,550,ZZ,R,E,H,D,G,C,G,D,336.0,2.0,8.0,999,11.0,Renewed
14110,126687,North Carolina,2017-08-31,2400,300,ZZ,S,E,H,C,M,C,G,D,354.0,5.0,8.0,999,11.0,Not Renewed
14111,129858,North Carolina,2017-08-31,2584,323,ZZ,T,C,G,C,G,C,G,D,256.0,2.0,8.0,999,11.0,Not Renewed
14112,128793,North Carolina,2017-08-31,2800,350,ZZ,R,E,H,B,J,B,G,E,260.0,1.0,8.0,999,11.0,Not Renewed
14113,129351,North Carolina,2017-08-31,3480,435,ZZ,R,H,H,C,B,B,G,E,382.0,1.0,8.0,999,11.0,Not Renewed
14114,122925,North Carolina,2017-08-31,4080,510,ZZ,R,H,H,C,Z,B,G,D,323.0,1.0,8.0,999,11.0,Renewed
14115,117888,North Carolina,2017-08-31,2784,348,ZZ,S,E,I,C,H,C,G,E,92.0,1.0,8.0,999,11.0,Renewed
14116,118347,North Carolina,2017-08-31,2784,348,ZZ,S,E,I,C,J,C,G,E,356.0,1.0,8.0,999,11.0,Not Renewed
14117,119076,North Carolina,2017-08-31,2784,348,ZZ,S,E,I,C,J,C,G,E,306.0,1.0,8.0,999,11.0,Not Renewed
14118,116976,North Carolina,2017-08-31,2784,348,ZZ,U,E,I,C,C,C,G,E,448.0,1.0,8.0,999,11.0,Not Renewed
14119,117063,North Carolina,2017-08-31,3072,384,ZZ,U,E,I,C,C,C,G,E,367.0,1.0,8.0,999,11.0,Not Renewed
14120,117144,North Carolina,2017-08-31,2784,348,ZZ,U,E,I,C,F,C,G,E,544.0,1.0,8.0,999,11.0,Not Renewed
14121,117213,North Carolina,2017-08-31,2784,348,ZZ,U,E,I,C,F,C,G,E,446.0,1.0,8.0,999,11.0,Not Renewed
14122,116289,North Carolina,2017-08-31,2784,348,ZZ,S,E,I,C,K,C,G,E,119.0,2.0,8.0,999,11.0,Renewed
14123,116331,North Carolina,2017-08-31,2784,348,ZZ,S,E,I,C,C,C,G,E,406.0,1.0,8.0,999,11.0,Not Renewed
14124,116415,North Carolina,2017-08-31,2784,348,ZZ,T,E,I,C,G,C,G,E,285.0,1.0,8.0,999,11.0,Not Renewed
14125,116763,North Carolina,2017-08-31,2784,348,ZZ,ZZ,E,I,C,G,C,G,E,545.0,1.0,8.0,999,11.0,Not Renewed
14126,101736,West Virginia,2017-08-31,3160,395,ZZ,S,D,H,C,F,C,G,D,0.0,4.0,8.0,999,11.0,Renewed
14127,99777,Virginia,2017-08-31,1920,240,ZZ,R,D,H,C,D,B,G,D,281.0,1.0,8.0,999,11.0,Not Renewed
14128,100377,West Virginia,2017-08-31,1920,240,ZZ,R,C,F,C,Z,C,E,C,142.0,3.0,8.0,999,11.0,Not Renewed
14129,100545,West Virginia,2017-08-31,5400,675,ZZ,S,G,I,C,J,C,G,E,381.0,4.0,8.0,999,11.0,Renewed
14130,97995,Virginia,2017-08-31,4760,595,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,8.0,999,11.0,Not Renewed
14135,99522,Virginia,2017-08-31,1920,240,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,8.0,999,11.0,Not Renewed
14136,99639,Virginia,2017-08-31,3136,392,ZZ,U,F,H,C,I,C,G,D,354.0,4.0,8.0,999,11.0,Not Renewed
14137,99657,Virginia,2017-08-31,4320,540,ZZ,U,D,H,C,I,B,G,D,260.0,1.0,8.0,999,11.0,Renewed
14138,106314,North Carolina,2017-08-31,3200,400,ZZ,T,A,G,D,B,C,G,D,574.0,1.0,8.0,999,11.0,Not Renewed
14139,106374,North Carolina,2017-08-31,2320,290,ZZ,T,A,G,D,B,C,G,D,371.0,1.0,8.0,999,11.0,Not Renewed
14140,104508,West Virginia,2017-08-31,1920,240,ZZ,R,C,H,C,H,C,G,D,0.0,4.0,8.0,999,11.0,Renewed
14142,104664,West Virginia,2017-08-31,1920,240,ZZ,R,D,G,C,H,B,E,C,123.0,4.0,8.0,999,11.0,Not Renewed
14144,102276,West Virginia,2017-08-31,3776,472,ZZ,R,B,G,C,G,B,G,D,312.0,2.0,8.0,999,11.0,Renewed
14145,102486,West Virginia,2017-08-31,3776,472,ZZ,U,B,G,C,F,B,G,D,351.0,2.0,8.0,999,11.0,Renewed
14146,101907,West Virginia,2017-08-31,2120,265,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,8.0,999,11.0,Not Renewed
14147,114339,North Carolina,2017-08-31,4280,535,ZZ,U,E,H,C,H,C,G,D,473.0,4.0,8.0,999,11.0,Renewed
14148,114375,North Carolina,2017-08-31,2560,320,ZZ,U,E,H,C,H,C,G,D,324.0,4.0,8.0,999,11.0,Not Renewed
14149,113601,North Carolina,2017-08-31,5600,700,ZZ,R,E,H,C,J,C,C,Z,324.0,3.0,8.0,999,11.0,Renewed
14150,113835,North Carolina,2017-08-31,2640,330,ZZ,ZZ,E,H,C,C,C,G,D,338.0,2.0,8.0,999,11.0,Not Renewed
14151,113991,North Carolina,2017-08-31,3200,400,ZZ,ZZ,E,H,C,C,C,G,D,454.0,2.0,8.0,999,11.0,Not Renewed
14152,103326,West Virginia,2017-08-31,1920,240,ZZ,R,D,H,C,B,C,G,D,0.0,2.0,8.0,999,11.0,Renewed
14153,109299,North Carolina,2017-08-31,3280,410,ZZ,U,H,J,C,I,C,G,E,340.0,2.0,8.0,999,11.0,Not Renewed
14154,108303,North Carolina,2017-08-31,5616,702,ZZ,T,G,H,C,I,C,G,D,446.0,1.0,8.0,999,11.0,Renewed
14155,105396,North Carolina,2017-08-31,2880,360,ZZ,T,D,H,C,C,C,G,D,411.0,1.0,8.0,999,11.0,Not Renewed
14156,104799,West Virginia,2017-08-31,1920,240,ZZ,R,D,G,C,J,B,E,C,69.0,3.0,8.0,999,11.0,Not Renewed
14157,104952,North Carolina,2017-08-31,2800,350,ZZ,R,E,H,B,H,B,G,E,210.0,1.0,8.0,999,11.0,Renewed
14158,250251,Tennessee,2017-08-31,2000,250,ZZ,ZZ,D,G,C,H,B,H,E,229.0,1.0,8.0,999,11.0,Not Renewed
14159,247638,Tennessee,2017-08-31,4000,500,ZZ,U,I,H,C,G,C,G,E,812.0,2.0,8.0,999,11.0,Not Renewed
14160,249075,Tennessee,2017-08-31,4712,589,ZZ,T,A,F,D,G,B,E,C,516.0,1.0,8.0,999,11.0,Renewed
14161,244119,Tennessee,2017-08-31,2400,300,ZZ,R,C,G,C,E,C,G,D,337.0,1.0,8.0,999,11.0,Not Renewed
14162,242613,Tennessee,2017-08-31,5200,650,ZZ,T,E,G,C,H,B,G,D,428.0,1.0,8.0,999,11.0,Renewed
14163,245670,Tennessee,2017-08-31,2008,251,ZZ,R,E,G,C,G,B,G,D,206.0,1.0,8.0,999,11.0,Not Renewed
14164,245805,Tennessee,2017-08-31,2272,284,ZZ,R,E,G,C,I,B,G,D,133.0,1.0,8.0,999,11.0,Renewed
14165,244527,Tennessee,2017-08-31,4800,600,ZZ,S,E,H,B,N,A,G,E,120.0,3.0,8.0,999,11.0,Renewed
14166,246624,Tennessee,2017-08-31,1920,240,ZZ,U,I,H,C,C,C,G,E,262.0,1.0,8.0,999,11.0,Not Renewed
14167,241989,Tennessee,2017-08-31,2240,280,ZZ,R,C,G,C,F,C,G,D,308.0,1.0,8.0,999,11.0,Not Renewed
14168,242220,Tennessee,2017-08-31,4640,580,ZZ,U,I,G,C,J,B,G,E,368.0,1.0,8.0,999,11.0,Renewed
14169,251982,Tennessee,2017-08-31,2600,325,ZZ,S,E,E,D,C,B,F,D,266.0,1.0,8.0,999,11.0,Renewed
14171,251409,Tennessee,2017-08-31,2000,250,ZZ,U,ZZ,ZZ,ZZ,L,ZZ,ZZ,ZZ,0.0,3.0,8.0,999,11.0,Renewed
14173,257946,Tennessee,2017-08-31,4640,580,ZZ,T,G,G,C,M,B,G,E,507.0,2.0,8.0,999,11.0,Renewed
14174,257508,Tennessee,2017-08-31,3200,400,ZZ,ZZ,I,H,C,Q,B,G,E,241.0,5.0,8.0,999,11.0,Renewed
14175,257589,Tennessee,2017-08-31,2240,280,ZZ,S,ZZ,ZZ,ZZ,L,ZZ,ZZ,ZZ,0.0,3.0,8.0,999,11.0,Renewed
14177,263544,Tennessee,2017-08-31,3800,475,ZZ,R,A,H,C,C,B,Z,Z,366.0,1.0,8.0,999,11.0,Renewed
14179,262521,Tennessee,2017-08-31,3040,380,ZZ,R,A,H,C,E,B,G,D,224.0,1.0,8.0,999,11.0,Renewed
14180,262626,Tennessee,2017-08-31,2160,270,ZZ,R,F,F,C,E,B,G,D,211.0,1.0,8.0,999,11.0,Not Renewed
14181,262974,Tennessee,2017-08-31,4672,584,ZZ,T,F,F,C,E,B,G,D,378.0,1.0,8.0,999,11.0,Renewed
14182,263970,Tennessee,2017-08-31,2664,333,ZZ,R,F,E,C,F,B,G,D,252.0,1.0,8.0,999,11.0,Renewed
14183,264060,Tennessee,2017-08-31,2664,333,ZZ,R,F,E,C,F,B,G,D,216.0,1.0,8.0,999,11.0,Renewed
14184,264324,Tennessee,2017-08-31,2000,250,ZZ,R,E,G,D,D,C,G,D,309.0,1.0,8.0,999,11.0,Not Renewed
14185,264369,Tennessee,2017-08-31,8320,1040,ZZ,R,E,G,D,D,C,G,D,620.0,1.0,8.0,999,11.0,Renewed
14186,264501,Tennessee,2017-08-31,2664,333,ZZ,R,F,E,C,G,B,G,D,261.0,1.0,8.0,999,11.0,Renewed
14187,216465,Florida,2017-08-31,2000,250,ZZ,R,G,H,C,C,B,G,E,261.0,1.0,8.0,999,11.0,Not Renewed
14188,210585,Florida,2017-08-31,4296,537,ZZ,ZZ,H,G,C,C,C,G,D,429.0,1.0,8.0,999,11.0,Renewed
14189,210711,Florida,2017-08-31,10000,1250,ZZ,T,K,G,D,E,C,G,D,967.0,2.0,8.0,999,11.0,Renewed
14190,220227,Alabama,2017-08-31,1920,240,ZZ,S,ZZ,ZZ,ZZ,N,ZZ,ZZ,ZZ,0.0,4.0,8.0,999,11.0,Renewed
14191,221823,Alabama,2017-08-31,2200,275,ZZ,S,H,H,C,M,B,G,E,330.0,3.0,8.0,999,11.0,Not Renewed
14192,227382,Alabama,2017-08-31,2000,250,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,8.0,999,11.0,Not Renewed
14193,229260,Alabama,2017-08-31,1920,240,ZZ,T,D,H,C,H,C,G,D,172.0,1.0,8.0,999,11.0,Not Renewed
14194,227103,Alabama,2017-08-31,4200,525,ZZ,R,A,G,C,C,C,A,A,432.0,2.0,8.0,999,11.0,Renewed
14195,224769,Alabama,2017-08-31,3120,390,ZZ,S,G,D,D,A,D,G,E,0.0,1.0,8.0,999,11.0,Renewed
14196,238773,Alabama,2017-08-31,1920,240,ZZ,U,ZZ,ZZ,ZZ,E,ZZ,ZZ,ZZ,0.0,1.0,8.0,999,11.0,Renewed
14197,229812,Alabama,2017-08-31,2544,318,ZZ,R,D,H,C,G,C,G,D,163.0,1.0,8.0,999,11.0,Renewed
14198,231672,Alabama,2017-08-31,1920,240,ZZ,R,D,H,C,G,C,G,D,120.0,1.0,8.0,999,11.0,Renewed
14199,231798,Alabama,2017-08-31,4800,600,ZZ,R,D,H,C,F,C,G,D,808.0,1.0,8.0,999,11.0,Not Renewed
14200,230550,Alabama,2017-08-31,1920,240,ZZ,U,ZZ,ZZ,ZZ,A,ZZ,ZZ,ZZ,0.0,1.0,8.0,999,11.0,Renewed
14201,233103,Alabama,2017-08-31,1920,240,ZZ,S,ZZ,ZZ,ZZ,J,ZZ,ZZ,ZZ,0.0,3.0,8.0,999,11.0,Renewed
14202,234396,Alabama,2017-08-31,3440,430,ZZ,U,ZZ,ZZ,ZZ,H,ZZ,ZZ,ZZ,0.0,1.0,8.0,999,11.0,Renewed
14203,234129,Alabama,2017-08-31,1920,240,ZZ,U,ZZ,ZZ,ZZ,C,ZZ,ZZ,ZZ,0.0,1.0,8.0,999,11.0,Renewed
14204,149643,Georgia,2017-08-31,1920,240,ZZ,T,ZZ,ZZ,ZZ,J,ZZ,ZZ,ZZ,0.0,2.0,8.0,999,11.0,Renewed
14205,152724,Georgia,2017-08-31,4400,550,ZZ,S,H,I,D,G,C,G,E,515.0,2.0,8.0,999,11.0,Renewed
14206,152796,Georgia,2017-08-31,2800,350,ZZ,S,H,I,D,H,C,G,E,781.0,3.0,8.0,999,11.0,Not Renewed
14207,154014,Georgia,2017-08-31,1920,240,ZZ,R,ZZ,ZZ,ZZ,B,ZZ,ZZ,ZZ,0.0,1.0,8.0,999,11.0,Renewed
14208,162333,Georgia,2017-08-31,1920,240,ZZ,T,ZZ,ZZ,ZZ,B,ZZ,ZZ,ZZ,0.0,1.0,8.0,999,11.0,Renewed
14209,164394,Georgia,2017-08-31,4800,600,ZZ,R,E,G,C,L,B,G,D,287.0,1.0,8.0,999,11.0,Renewed
14210,164967,Georgia,2017-08-31,3840,480,ZZ,T,ZZ,ZZ,ZZ,C,ZZ,ZZ,ZZ,0.0,1.0,8.0,999,11.0,Renewed
14211,165234,Georgia,2017-08-31,3840,480,ZZ,S,H,I,C,J,B,G,E,296.0,2.0,8.0,999,11.0,Renewed
14212,165507,Georgia,2017-08-31,1920,240,ZZ,R,C,F,D,B,D,F,D,178.0,1.0,8.0,999,11.0,Not Renewed
14213,160410,Georgia,2017-08-31,7800,975,ZZ,T,K,G,C,H,B,G,D,509.0,2.0,8.0,999,11.0,Renewed
14214,159555,Georgia,2017-08-31,5400,675,ZZ,R,K,G,D,E,C,G,D,634.0,2.0,8.0,999,11.0,Renewed
14215,158319,Georgia,2017-08-31,3400,425,ZZ,T,E,G,C,E,B,G,D,301.0,1.0,8.0,999,11.0,Renewed
14216,174861,Florida,2017-08-31,1920,240,ZZ,T,ZZ,ZZ,ZZ,I,ZZ,ZZ,ZZ,0.0,2.0,8.0,999,11.0,Renewed
14217,177663,Florida,2017-08-31,1920,240,ZZ,U,ZZ,ZZ,ZZ,G,ZZ,ZZ,ZZ,0.0,1.0,8.0,999,11.0,Renewed
14218,174474,Georgia,2017-08-31,3416,427,ZZ,U,ZZ,ZZ,ZZ,F,ZZ,ZZ,ZZ,0.0,2.0,8.0,999,11.0,Renewed
14219,169260,Georgia,2017-08-31,1920,240,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,8.0,999,11.0,Not Renewed
14220,170784,Georgia,2017-08-31,3240,405,ZZ,U,E,H,D,A,D,G,E,600.0,1.0,8.0,999,11.0,Not Renewed
14221,170862,Georgia,2017-08-31,3240,405,ZZ,U,E,H,D,A,D,G,E,1110.0,1.0,8.0,999,11.0,Not Renewed
14222,170964,Georgia,2017-08-31,3240,405,ZZ,U,E,H,D,A,D,G,E,522.0,1.0,8.0,999,11.0,Not Renewed
14223,171069,Georgia,2017-08-31,3240,405,ZZ,U,E,H,D,C,D,G,E,436.0,1.0,8.0,999,11.0,Not Renewed
14224,172095,Georgia,2017-08-31,1920,240,ZZ,T,ZZ,ZZ,ZZ,C,ZZ,ZZ,ZZ,0.0,1.0,8.0,999,11.0,Renewed
14225,189369,Florida,2017-08-31,4920,615,ZZ,U,J,J,C,D,C,G,E,526.0,1.0,8.0,999,11.0,Renewed
14226,187971,Florida,2017-08-31,5400,675,ZZ,U,H,J,B,G,B,G,E,590.0,1.0,8.0,999,11.0,Renewed
14227,190869,Florida,2017-08-31,2000,250,ZZ,U,ZZ,ZZ,ZZ,B,ZZ,ZZ,ZZ,0.0,1.0,8.0,999,11.0,Renewed
14228,191451,Florida,2017-08-31,2400,300,ZZ,U,I,J,C,F,B,G,E,327.0,1.0,8.0,999,11.0,Not Renewed
14229,187329,Florida,2017-08-31,3120,390,ZZ,R,H,J,B,J,B,G,E,247.0,1.0,8.0,999,11.0,Renewed
14230,191928,Florida,2017-08-31,1920,240,ZZ,S,ZZ,ZZ,ZZ,L,ZZ,ZZ,ZZ,0.0,3.0,8.0,999,11.0,Renewed
14231,184926,Florida,2017-08-31,5600,700,ZZ,S,E,I,C,M,B,G,E,290.0,4.0,8.0,999,11.0,Renewed
14232,195450,Florida,2017-08-31,6800,850,ZZ,U,J,J,C,C,C,G,E,868.0,1.0,8.0,999,11.0,Renewed
14233,196215,Florida,2017-08-31,1920,240,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,8.0,999,11.0,Not Renewed
14234,196524,Florida,2017-08-31,3320,415,ZZ,ZZ,J,J,C,D,C,G,E,407.0,1.0,8.0,999,11.0,Not Renewed
14235,196725,Florida,2017-08-31,4000,500,ZZ,S,J,J,C,B,C,G,E,441.0,1.0,8.0,999,11.0,Renewed
14236,195819,Florida,2017-08-31,6400,800,ZZ,S,ZZ,ZZ,ZZ,J,ZZ,ZZ,ZZ,0.0,3.0,8.0,999,11.0,Renewed
14237,198978,Florida,2017-08-31,4800,600,ZZ,S,J,J,C,K,C,G,E,1085.0,3.0,8.0,999,11.0,Not Renewed
14239,212718,Florida,2017-08-31,5920,740,ZZ,S,H,H,C,H,B,G,E,511.0,1.0,8.0,999,11.0,Renewed
14240,212829,Florida,2017-08-31,4720,590,ZZ,S,H,H,C,J,B,G,E,481.0,2.0,8.0,999,11.0,Renewed
14241,213066,Florida,2017-08-31,4600,575,ZZ,S,H,H,C,J,B,G,E,409.0,1.0,8.0,999,11.0,Renewed
14242,208728,Florida,2017-08-31,1920,240,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,8.0,999,11.0,Not Renewed
14243,209493,Florida,2017-08-31,3000,375,ZZ,S,ZZ,ZZ,ZZ,O,ZZ,ZZ,ZZ,0.0,4.0,8.0,999,11.0,Renewed
14244,209823,Florida,2017-08-31,4216,527,ZZ,S,H,G,C,C,C,G,D,452.0,1.0,8.0,999,11.0,Renewed
14245,210258,Florida,2017-08-31,5760,720,ZZ,T,H,G,C,C,C,G,D,663.0,1.0,8.0,999,11.0,Renewed
14246,214659,Florida,2017-08-31,5200,650,ZZ,S,I,I,C,I,B,G,E,358.0,2.0,8.0,999,11.0,Renewed
14247,214986,Florida,2017-08-31,4640,580,ZZ,U,I,I,C,E,B,G,E,446.0,1.0,8.0,999,11.0,Renewed
14248,215232,Florida,2017-08-31,8400,1050,ZZ,S,I,I,C,K,B,G,E,372.0,1.0,8.0,999,11.0,Renewed
14250,8223738,Texas,2017-08-31,2880,360,ZZ,U,ZZ,ZZ,ZZ,E,ZZ,ZZ,ZZ,0.0,3.0,8.0,999,11.0,Renewed
14253,8045109,Virginia,2017-08-31,2520,315,ZZ,R,E,H,B,J,B,E,B,283.0,4.0,8.0,999,11.0,Renewed
14254,8642112,California,2017-08-31,3280,410,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,8.0,999,11.0,Not Renewed
14255,8520063,Texas,2017-08-31,2160,270,ZZ,R,C,F,D,Z,C,G,D,290.0,2.0,8.0,999,11.0,Renewed
14256,8674077,California,2017-08-31,7000,875,ZZ,T,D,D,B,Q,A,E,C,0.0,5.0,8.0,999,11.0,Renewed
14257,8752191,North Carolina,2017-08-31,2360,295,ZZ,R,D,H,C,E,C,G,D,247.0,1.0,8.0,999,11.0,Renewed
14258,9192360,Illinois,2017-08-31,1920,240,ZZ,S,ZZ,ZZ,ZZ,A,ZZ,ZZ,ZZ,0.0,1.0,8.0,999,11.0,Renewed
14259,9815748,Texas,2017-08-31,1920,240,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,8.0,999,11.0,Not Renewed
14261,9745476,South Carolina,2017-08-31,3200,400,ZZ,U,K,K,C,I,B,Z,Z,255.0,2.0,8.0,999,11.0,Renewed
14264,10093425,District of Columbia,2017-08-31,1920,240,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,8.0,999,11.0,Not Renewed
14265,10130922,Kentucky,2017-08-31,4200,525,ZZ,T,B,F,D,D,C,G,D,467.0,1.0,8.0,999,11.0,Renewed
14266,10045578,Texas,2017-08-31,2000,250,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,8.0,999,11.0,Not Renewed
14267,10159449,Arizona,2017-08-31,4400,550,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,8.0,999,11.0,Renewed
14268,10170600,South Dakota,2017-08-31,1920,240,ZZ,ZZ,K,K,A,P,A,Z,Z,50.0,3.0,8.0,999,11.0,Renewed
14270,9355719,Missouri,2017-08-31,3200,400,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,8.0,999,11.0,Not Renewed
14271,9714699,Texas,2017-08-31,4344,543,ZZ,U,K,K,D,J,D,Z,Z,655.0,4.0,8.0,999,11.0,Renewed
14272,9664920,Wisconsin,2017-08-31,1920,240,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,8.0,999,11.0,Not Renewed
14273,9668223,Texas,2017-08-31,3248,406,ZZ,S,K,K,B,Q,A,Z,Z,36.0,5.0,8.0,999,11.0,Renewed
14274,9685338,Tennessee,2017-08-31,6120,765,ZZ,R,K,K,B,J,A,Z,Z,303.0,1.0,8.0,999,11.0,Renewed
14275,9689022,California,2017-08-31,2080,260,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,8.0,999,11.0,Not Renewed
14276,9766200,Delaware,2017-08-31,5800,725,ZZ,T,K,K,A,P,A,Z,Z,135.0,3.0,8.0,999,11.0,Renewed
14277,9772962,Arizona,2017-08-31,3864,483,ZZ,U,ZZ,ZZ,ZZ,J,ZZ,ZZ,ZZ,0.0,3.0,8.0,999,11.0,Renewed
14278,9782874,California,2017-08-31,2744,343,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,8.0,999,11.0,Not Renewed
14280,16688358,Texas,2017-08-31,4280,535,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,8.0,999,11.0,Renewed
14281,10722435,Texas,2017-08-31,4080,510,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,8.0,999,11.0,Not Renewed
14282,10740507,Arkansas,2017-08-31,3608,451,ZZ,S,D,F,C,I,B,A,Z,136.0,2.0,8.0,999,11.0,Renewed
14283,11341512,California,2017-08-31,1920,240,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,8.0,999,11.0,Not Renewed
14284,16720818,Washington,2017-08-31,1920,240,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,8.0,999,11.0,Not Renewed
14285,10454514,Louisiana,2017-08-31,2400,300,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,8.0,999,11.0,Not Renewed
14286,10415796,Illinois,2017-08-31,2400,300,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,8.0,999,11.0,Not Renewed
14287,10381242,Colorado,2017-08-31,3640,455,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,8.0,999,11.0,Not Renewed
14288,10443723,California,2017-08-31,1920,240,ZZ,U,K,K,ZZ,C,D,Z,Z,0.0,2.0,8.0,999,11.0,Renewed
14289,7134762,Kentucky,2017-08-31,3200,400,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,8.0,999,11.0,Not Renewed
14290,7204050,California,2017-08-31,2400,300,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,8.0,999,11.0,Not Renewed
14291,7067391,California,2017-08-31,4680,585,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,8.0,999,11.0,Renewed
14292,7072281,Kansas,2017-08-31,3880,485,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,8.0,999,11.0,Not Renewed
14293,7074993,Arkansas,2017-08-31,3768,471,ZZ,S,E,H,B,J,A,H,E,210.0,2.0,8.0,999,11.0,Renewed
14294,7369563,North Carolina,2017-08-31,4120,515,ZZ,S,E,H,C,M,C,G,D,324.0,5.0,8.0,999,11.0,Renewed
14296,7428753,Ohio,2017-08-31,4688,586,ZZ,R,G,D,B,L,A,H,C,0.0,1.0,8.0,999,11.0,Renewed
14297,7041588,Texas,2017-08-31,2400,300,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,ZZ,8.0,999,11.0,Not Renewed
14298,7253643,Idaho,2017-08-31,1920,240,ZZ,S,ZZ,ZZ,ZZ,E,ZZ,ZZ,ZZ,0.0,1.0,8.0,999,11.0,Renewed
